0.00-0.05,0.05-0.10,0.10-0.15,0.15-0.20,0.20-0.25,0.25-0.30,0.30-0.35,0.35-0.40,0.40-0.45,0.45-0.50,0.50-0.55,0.55-0.60,0.60-0.65,0.65-0.70,0.70-0.75,0.75-0.80,0.80-0.85,0.85-0.90,0.90-0.95,0.95-1.00
38914,11,7,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38613,173,60,29,31,13,7,2,1,5,1,0,0,0,0,0,0,0,0,0
38508,214,88,52,31,13,8,7,5,3,3,1,1,1,0,0,0,0,0,0
38795,97,21,13,2,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0
38759,98,29,24,10,6,3,2,3,0,0,0,0,0,0,1,0,0,0,0
38765,108,34,12,12,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38467,291,92,30,22,9,4,10,3,3,2,0,2,0,0,0,0,0,0,0
38840,67,13,9,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38245,345,121,72,41,38,28,10,12,11,0,3,2,2,1,0,3,1,0,0
38676,202,30,14,8,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0
38514,235,77,41,30,11,6,6,2,3,2,3,1,2,2,0,0,0,0,0
38731,149,31,10,4,3,1,0,0,1,0,2,1,1,1,0,0,0,0,0
38669,201,38,15,7,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0
38388,246,195,52,24,9,9,3,4,1,3,1,0,0,0,0,0,0,0,0
38744,87,35,20,13,4,6,4,3,4,5,3,1,2,2,1,1,0,0,0
38841,62,20,6,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
38722,132,52,7,11,8,0,1,2,0,0,0,0,0,0,0,0,0,0,0
38861,47,16,3,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0
38842,55,13,7,3,6,2,4,2,0,1,0,0,0,0,0,0,0,0,0
38722,112,49,20,16,6,2,2,0,3,1,1,0,1,0,0,0,0,0,0
38489,356,80,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38871,50,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38732,114,34,25,11,9,5,2,0,0,1,1,0,0,0,0,0,0,1,0
38819,43,24,23,8,10,2,3,0,0,1,0,1,0,0,0,0,0,1,0
38909,15,4,0,0,3,0,1,0,0,0,1,0,2,0,0,0,0,0,0
38837,64,13,7,5,4,2,1,0,1,0,0,0,0,1,0,0,0,0,0
38694,88,42,26,13,11,14,8,7,4,5,3,1,2,3,0,6,4,3,1
38879,26,21,3,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
38886,28,9,8,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38930,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38876,40,7,6,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38702,132,43,22,9,4,8,3,1,3,1,0,1,5,0,0,0,0,0,1
38899,29,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38639,223,53,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38450,256,99,57,41,13,14,5,0,0,0,0,0,0,0,0,0,0,0,0
38870,51,5,3,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0
38642,173,66,35,11,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0
38655,162,60,25,13,6,5,4,1,1,1,1,1,0,0,0,0,0,0,0
38780,91,36,14,9,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0
